_id,viewing_product_id,referrer_url
5ed81a258000343760046d72,103474,https://www.glamira.com/glamira-ring-ingrida.html?alloy=white-585&diamond=rose-quartz&stone2=diamond-Brillant&itm_source=recommendation&itm_medium=detail
5ed81a1e56b3dd3742257a67,103474,https://www.glamira.com/glamira-ring-ingrida.html?alloy=white-585&diamond=rose-quartz&stone2=diamond-Brillant&itm_source=recommendation&itm_medium=detail
5ed81a1c385d1f36b89eb098,103474,https://www.glamira.com/glamira-ring-ingrida.html?alloy=white-585&diamond=rose-quartz&stone2=diamond-Brillant&itm_source=recommendation&itm_medium=detail
5ed819a5b9a5fa37545f3b87,103474,https://www.glamira.com/glamira-ring-ingrida.html?alloy=white-585&diamond=rose-quartz&stone2=diamond-Brillant&itm_source=recommendation&itm_medium=detail
5ed81a014f117c373c8631d3,86188,https://www.glamira.pl/heavenly-beauty-b9051-001.html?alloy=white_yellow-375&keyword=&matchtype=&gclid=Cj0KCQjwlN32BRCCARIsADZ-J4vgMyZUvGctnR49hS-0J74B0HOC1ihsvzIFk7MFyveCtTOTt0mxPEEaAgGREALw_wcB
5ed819fbfe6972375a005c7e,103474,https://www.glamira.com/glamira-ring-ingrida.html?alloy=white-585&diamond=rose-quartz&stone2=diamond-Brillant&itm_source=recommendation&itm_medium=detail
5ed81993796d133700ce58b2,92307,https://www.glamira.pt/glamira-ring-effie.html?alloy=white_red-375&diamond=yellowdiamond&itm_source=recommendation&itm_medium=detail
5ed816d187725937125f6aab,90259,https://www.glamira.co.uk/glamira-necklace-cassandra.html?gclid=EAIaIQobChMI1Kz728fm6QIVirTtCh3TEQ63EAQYBiABEgIG1PD_BwE&alloy=white-platin&diamond=diamond-sapphire
5ed8166756b3dd37422574ca,90259,https://www.glamira.co.uk/glamira-necklace-cassandra.html?gclid=EAIaIQobChMI1Kz728fm6QIVirTtCh3TEQ63EAQYBiABEgIG1PD_BwE&alloy=white-platin&diamond=diamond-sapphire
5ed81408feae1f3778106b2a,98388,https://www.glamira.fr/glamira-bracelet-huzal.html?alloy=yellow_white-585&diamond=diamond-Brillant&itm_source=recommendation&itm_medium=detail
5ed8143773c8be36d069821e,84784,https://www.glamira.dk/glamira-diamant-ringe-julianne-skug100505.html?itm_source=recommendation&itm_medium=sorting&diamond=diamond-Swarovsky&alloy=white-585
5ed8140c60f01837776954a6,98388,https://www.glamira.fr/glamira-bracelet-huzal.html?alloy=yellow_white-585&diamond=diamond-Brillant&itm_source=recommendation&itm_medium=detail
5ed8140b4f117c373c862819,98388,https://www.glamira.fr/glamira-bracelet-huzal.html?alloy=yellow_white-585&diamond=diamond-Brillant&itm_source=recommendation&itm_medium=detail
