_id,product_id ,viewing_product_id,current_url
5ed8c9505139e436c44c0935,,102299,https://www.glamira.ch/glamira-ohrringe-nutpila.html?alloy=white-585&diamond=diamond-Brillant
5ed8c95066936336eec3a199,,90815,https://www.glamira.se/glamira-brudset-grande-ringar-a.html?alloy=white-750&diamond=diamond-Brillant&stone2=diamond-Brillant
5ed8c92f6b9438374e3f1cb3,,90293,https://www.glamira.co.za/bridal-set-lovebirds-ring-b.html?alloy=white-585&diamond=diamond-Swarovsky
5ed8c9198772593712600e0a,,88521,https://www.glamira.co.uk/womens-ring-alluring-summer.html?alloy=yellow-375&stone=diamond-Zirconia
5ed8c9199d843b37067706ff,,90736,https://www.glamira.de/glamira-ring-gratia.html?alloy=red_white-585&diamond=diamond-Brillant&gclid=EAIaIQobChMIrsfukfPn6QIVi7d3Ch1kAw-qEAQYBCABEgLk0vD_BwE
5ed8c8ea5c503836d6cfaf33,,101832,https://www.ring-paare.de/silver-faith.html?stone=diamond-Zirconia
5ed8c8de385d1f36b89f4fa4,,98098,https://www.glamira.ch/glamira-earring-moschato.html?alloy=white-585&diamond=diamond-Brillant&stone2=diamond-Brillant
5ed8c8d8e73652372a130fce,,110979,https://www.glamira.com.ph/confident-gift-5-mm.html?alloy=white-585&stone=diamond-Zirconia
5ed8c8b2bb30d63718bff9f6,,84850,https://www.glamira.com.au/glamira-ring-cynthia-skug100385.html?alloy=red-585&diamond=diamond-Swarovsky&stone2=diamond-Swarovsky
5ed8c89e98c9ed3784610cd9,,91038,https://www.glamira.sk/glamira-ring-joy-0.25crt.html?diamond=diamond-Brillant&alloy=yellow-585
5ed8c88db9a5fa37545fdac9,,104172,https://www.glamira.com.tr/glamira-ring-gerlindis.html?diamond=fire-opal&alloy=white-palladium&gclid=Cj0KCQjwlN32BRCCARIsADZ-J4sgaanIjktbiTIyw22k5JwzODjJtJw5n1lUgjbAntCMmb7qMSnLbjQaAl_ZEALw_wcB
5ed8c85e2c94b7370c1601d3,,97501,https://www.glamira.bg/glamira-earring-farabadan.html?alloy=yellow-750
5ed8c843feae1f37781112d7,,104056,https://www.glamira.no/glamira-earring-nilasha.html?alloy=white-585&diamond=diamond-sapphire
5ed8c7f4bb30d63718bff904,,110024,https://www.glamira.fr/glamira-ring-timonie.html?stone2=diamond-sapphire&alloy=white-585&diamond=emerald&gclid=EAIaIQobChMImtW84_Tn6QIVD6ZRCh1xfQ_UEAEYASAFEgICr_D_BwE
5ed8c7ed8772593712600c84,,92493,https://www.glamira.sk/glamira-pendant-inga.html?diamond=diamond-sapphire&alloy=white-silber
5ed8c7dffe6972375a00f9ae,,103708,https://www.glamira.it/anelli-donna-brilliant-rose-3-mm.html?alloy=white-silber&stone=diamond-Zirconia
5ed8c7dc8772593712600c6c,,89438,https://www.glamira.com.au/glamira-ring-jamie.html?alloy=red-750&diamond=diamond-Swarovsky&stone2=diamond-Swarovsky
